1e-05	0	0	0	0	0	0
1.14815e-05	0	0	0	0	0	0.0105054
1.31826e-05	0	0	0	0	0	0.0351489
1.51356e-05	0	0	0	0	0	0.066492
1.7378e-05	0	0	0	0	0	0.099864
1.99526e-05	0	0	0	0	0	0.132458
2.29087e-05	0	0	0	0	0	0.162706
2.63027e-05	0	0	0	0	0	0.18984
3.01995e-05	0	0	0	0	0	0.213602
3.46737e-05	0	0	0	0	0	0.234037
3.98107e-05	0	0	0	0	0	0.251368
4.57088e-05	0	0	0	0	0	0.265902
5.24807e-05	0	0	0	0	0	0.27798
6.0256e-05	0	0	0	0	0	0.28794
6.91831e-05	0	0	0	0	0	0.296101
7.94328e-05	0	0	0	0	0	0.302751
9.12011e-05	0	0	0	0	0	0.308145
0.000104713	0	0	0	0	0	0.312501
0.000120226	0	0	0	0	0	0.316005
0.000138038	0	0	0	0	0	0.318816
0.000158489	0	0	0	0	0	0.321064
0.00018197	0	0	0	0	0	0.322856
0.00020893	0	0	0	0	0	0.324282
0.000239883	0	0	0	0	0	0.325415
0.000275423	0	0	0	0	0	0.326312
0.000316228	0	0	0	0	0	0.327021
0.000363078	0	0	0	0	0	0.327582
0.000416869	0	0	0	0	0	0.328023
0.00047863	0	0	0	0	0	0.328371
0.000549541	0	0	0	0	0	0.328644
0.000630957	0	0	0	0	0	0.328859
0.000724436	0	0	0	0	0	0.329027
0.000831764	0	0	0	0	0	0.329159
0.000954993	0	0	0	0	0	0.329263
0.00109648	0	0	0	0	0	0.329343
0.00125893	0	0	0	0	0	0.329406
0.00144544	0	0	0	0	0	0.329456
0.00165959	0	0	0	0	0	0.329494
0.00190546	0	0	0	0	0	0.329524
0.00218776	0	0	0	0	0	0.329547
0.00251189	0	0	0	0	0	0.329565
0.00288403	0	0	0	0	0	0.329579
0.00331131	0	0	0	0	0	0.32959
0.00380189	0	0	0	0	0	0.329599
0.00436516	0	0	0	0	0	0.329606
0.00501187	0	0	0	0	0	0.329611
0.0057544	0	0	0	0	0	0.329615
0.00660693	0	0	0	0	0	0.329618
0.00758578	0	0	0	0	0	0.32962
0.00870964	0	0	0	0	0	0.329622
0.01	0	0	0	0	0	0.329623
0.0114815	0	0	0	0	0	0.329625
0.0131826	0	0	0	0	0	0.329625
0.0151356	0	0	0	0	0	0.329626
0.017378	0	0	0	0	0	0.329627
0.0199526	0	0	0	0	0	0.329627
0.0229087	0	0	0	0	0	0.329627
0.0263027	0	0	0	0	0	0.329628
0.0301995	0	0	0	0	0	0.329628
0.0346737	0	0	0	0	0	0.329628
0.0398107	0	0	0	0	0	0.329628
0.0457088	0	0	0	0	0	0.329628
0.0524807	0	0	0	0	0	0.329628
0.060256	0	0	0	0	0	0.329628
0.0691831	0	0	0	0	0	0.329628
0.0794328	0	0	0	0	0	0.329628
0.0912011	0	0	0	0	0	0.329628
0.104713	0	0	0	0	0	0.329628
0.120226	0	0	0	0	0	0.329628
0.138038	0	0	0	0	0	0.329628
0.158489	0	0	0	0	0	0.329628
0.18197	0	0	0	0	0	0.329628
0.20893	0	0	0	0	0	0.329628
0.239883	0	0	0	0	0	0.329628
0.275423	0	0	0	0	0	0.329628
0.316228	0	0	0	0	0	0.329628
0.363078	0	0	0	0	0	0.329628
0.416869	0	0	0	0	0	0.329628
0.47863	0	0	0	0	0	0.329628
0.549541	0	0	0	0	0	0.329628
0.630957	0	0	0	0	0	0.329628
0.724436	0	0	0	0	0	0.329628
0.831764	0	0	0	0	0	0.329628
0.954993	0	0	0	0	0	0.329628
1.09648	0	0	0	0	0	0.329628
1.25893	0	0	0	0	0	0.329628
1.44544	0	0	0	0	0	0.329628
1.65959	0	0	0	0	0	0.329628
1.90546	0	0	0	0	0	0.329628
2.18776	0	0	0	0	0	0.329628
2.51189	0	0	0	0	0	0.329628
2.88403	0	0	0	0	0	0.329628
3.31131	0	0	0	0	0	0.329628
3.80189	0	0	0	0	0	0.329628
4.36516	0	0	0	0	0	0.329628
5.01187	0	0	0	0	0	0.329628
5.7544	0	0	0	0	0	0.329628
6.60693	0	0	0	0	0	0.329628
7.58578	0	0	0	0	0	0.329628
8.70964	0	0	0	0	0	0.329628
10	0	0	0	0	0	0.329628
