5.00000000e-01	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00
5.99500000e-01	1.00555765e+00	1.00000000e+00	1.00000000e+00	1.00520177e+00	1.01532404e+00	1.03015137e+00	1.04952675e+00	1.07334548e+00	1.10155013e+00	1.13412633e+00	1.17109948e+00	1.21253205e+00	1.25852150e+00	1.30919879e+00	1.36472723e+00	1.42530192e+00	1.49114939e+00	1.56252773e+00	1.63972690e+00	1.72306950e+00	1.81291163e+00	1.90964419e+00	2.01369431e+00	2.12552715e+00	2.24564783e+00	2.37460374e+00	2.51298703e+00	2.66143741e+00	2.82064518e+00	2.99135463e+00	3.17436769e+00	3.37054788e+00	3.58082464e+00	3.80619803e+00	4.04774376e+00	4.30661869e+00	4.58406666e+00	4.88142496e+00	5.20013110e+00	5.54173026e+00	5.90788323e+00
6.99000000e-01	1.01610065e+00	1.00000000e+00	1.00000000e+00	1.01401459e+00	1.04064745e+00	1.07903977e+00	1.12876063e+00	1.18972881e+00	1.26215825e+00	1.34652120e+00	1.44352508e+00	1.55409984e+00	1.67939397e+00	1.82077737e+00	1.97985028e+00	2.15845755e+00	2.35870785e+00	2.58299767e+00	2.83404018e+00	3.11489910e+00	3.42902772e+00	3.78031381e+00	4.17313058e+00	4.61239459e+00	5.10363122e+00	5.65304864e+00	6.26762121e+00	6.95518355e+00	7.72453641e+00	8.58556600e+00	9.54937833e+00	1.06284504e+01	1.18368002e+01	1.31901789e+01	1.47062858e+01	1.64050114e+01	1.83087109e+01	2.04425116e+01	2.28346590e+01	2.55169071e+01	2.85249572e+01
7.98500000e-01	1.02687844e+00	1.00000000e+00	1.00000000e+00	1.02182712e+00	1.06251951e+00	1.12056915e+00	1.19551862e+00	1.28770952e+00	1.39813090e+00	1.52833525e+00	1.68040117e+00	1.85693000e+00	2.06106832e+00	2.29655187e+00	2.56776836e+00	2.87983840e+00	3.23871483e+00	3.65130170e+00	4.12559469e+00	4.67084567e+00	5.29775457e+00	6.01869270e+00	6.84796187e+00	7.80209524e+00	8.90020599e+00	1.01643916e+01	1.16202025e+01	1.32971848e+01	1.52295096e+01	1.74567027e+01	2.00244892e+01	2.29857735e+01	2.64017747e+01	3.03433430e+01	3.48924859e+01	4.01441372e+01	4.62082089e+01	5.32119699e+01	6.13028049e+01	7.06514140e+01	8.14555235e+01
8.98000000e-01	1.03614683e+00	1.00000000e+00	1.00000000e+00	1.02756797e+00	1.07820501e+00	1.14997597e+00	1.24264983e+00	1.35722153e+00	1.49565979e+00	1.66079310e+00	1.85628436e+00	2.08666676e+00	2.35742621e+00	2.67512358e+00	3.04755455e+00	3.48394836e+00	3.99520889e+00	4.59420366e+00	5.29610780e+00	6.11881243e+00	7.08340816e+00	8.21475721e+00	9.54216999e+00	1.11002049e+01	1.29296138e+01	1.50784596e+01	1.76034369e+01	2.05714342e+01	2.40613796e+01	2.81664238e+01	3.29965211e+01	3.86814820e+01	4.53745828e+01	5.32568353e+01	6.25420384e+01	7.34827526e+01	8.63773701e+01	1.01578480e+02	1.19502767e+02	1.40642726e+02	1.65580530e+02
9.97500000e-01	1.04341191e+00	1.00000000e+00	1.00000000e+00	1.03133065e+00	1.08824280e+00	1.16862014e+00	1.27259430e+00	1.40184851e+00	1.55929203e+00	1.74894319e+00	1.97593847e+00	2.24662650e+00	2.56872804e+00	2.95155508e+00	3.40628973e+00	3.94632813e+00	4.58769865e+00	5.34956671e+00	6.25484198e+00	7.33090745e+00	8.61049395e+00	1.01327286e+01	1.19443919e+01	1.41014239e+01	1.66707305e+01	1.97323478e+01	2.33820374e+01	2.77343981e+01	3.29265966e+01	3.91228420e+01	4.65197519e+01	5.53527895e+01	6.59039849e+01	7.85111996e+01	9.35792422e+01	1.11593207e+02	1.33134482e+02	1.58899963e+02	1.89725116e+02	2.26611662e+02	2.70760818e+02
1.09700000e+00	1.04869680e+00	1.00000000e+00	1.00000000e+00	1.03350530e+00	1.09388472e+00	1.17903473e+00	1.28948790e+00	1.42754360e+00	1.59690441e+00	1.80257753e+00	2.05092948e+00	2.34984341e+00	2.70895881e+00	3.13998903e+00	3.65712134e+00	4.27751047e+00	5.02188145e+00	5.91526278e+00	6.98787590e+00	8.27621323e+00	9.82434388e+00	1.16854950e+01	1.39239665e+01	1.66174500e+01	1.98598364e+01	2.37646175e+01	2.84690047e+01	3.41389200e+01	4.09750419e+01	4.92201317e+01	5.91679111e+01	7.11738231e+01	8.56680740e+01	1.03171445e+02	1.24314459e+02	1.49860627e+02	1.80734628e+02	2.18056492e+02	2.63183057e+02	3.17758253e+02	3.83774105e+02
1.19650000e+00	1.05222286e+00	1.00000000e+00	1.00000000e+00	1.03449252e+00	1.09631933e+00	1.18352057e+00	1.29701122e+00	1.43959622e+00	1.61559954e+00	1.83079637e+00	2.09251540e+00	2.40985563e+00	2.79399910e+00	3.25861822e+00	3.82038726e+00	4.49961474e+00	5.32101980e+00	6.31468215e+00	7.51720275e+00	8.97312067e+00	1.07366422e+01	1.28737508e+01	1.54647818e+01	1.86075644e+01	2.24212558e+01	2.70510215e+01	3.26737487e+01	3.95050204e+01	4.78076324e+01	5.79019924e+01	7.01788215e+01	8.51146670e+01	1.03290854e+02	1.25416637e+02	1.52357488e+02	1.85169667e+02	2.25142463e+02	2.73849827e+02	3.33213484e+02	4.05580081e+02	4.93815506e+02
1.29600000e+00	1.05426932e+00	1.00000000e+00	1.00000000e+00	1.03462522e+00	1.09649268e+00	1.18386472e+00	1.29799405e+00	1.44207798e+00	1.62090248e+00	1.84081029e+00	2.10984720e+00	2.43803072e+00	2.83772499e+00	3.32412508e+00	3.91586453e+00	4.63576864e+00	5.51178322e+00	6.57811701e+00	7.87664499e+00	9.45863147e+00	1.13868452e+01	1.37381554e+01	1.66067189e+01	2.01078915e+01	2.43830318e+01	2.96053975e+01	3.59873881e+01	4.37894387e+01	5.33309451e+01	6.50036841e+01	7.92883033e+01	9.67745807e+01	1.18186323e+02	1.44411966e+02	1.76542187e+02	2.15916137e+02	2.64178288e+02	3.23348314e+02	3.95907032e+02	4.84902080e+02	5.94077883e+02
1.39550000e+00	1.05511269e+00	1.00000000e+00	1.00000000e+00	1.03415970e+00	1.09511082e+00	1.18137848e+00	1.29450014e+00	1.43796459e+00	1.61688534e+00	1.83800495e+00	2.10987954e+00	2.44319017e+00	2.85116869e+00	3.35014494e+00	3.96023365e+00	4.70618827e+00	5.61845773e+00	6.73449161e+00	8.10035074e+00	9.77269358e+00	1.18212259e+01	1.43317218e+01	1.74097490e+01	2.11852640e+01	2.58182795e+01	3.15058566e+01	3.84907310e+01	4.70719575e+01	5.76180465e+01	7.05831766e+01	8.65272083e+01	1.06140390e+02	1.30273861e+02	1.59977319e+02	1.96545531e+02	2.41575781e+02	2.97038821e+02	3.65366522e+02	4.49560148e+02	5.53324136e+02	6.81231386e+02
1.49500000e+00	1.05500252e+00	1.00000000e+00	1.00000000e+00	1.03328668e+00	1.09268634e+00	1.17700189e+00	1.28800334e+00	1.42938675e+00	1.60648488e+00	1.82630539e+00	2.09774721e+00	2.43194592e+00	2.84273977e+00	3.34726673e+00	3.96671461e+00	4.72725575e+00	5.66120752e+00	6.80847056e+00	8.21830989e+00	9.95155983e+00	1.20833533e+01	1.47065003e+01	1.79356695e+01	2.19125661e+01	2.68123413e+01	3.28515305e+01	4.02978834e+01	4.94825388e+01	6.08151072e+01	7.48023552e+01	9.20713557e+01	1.13398175e+02	1.39743422e+02	1.72296312e+02	2.12529282e+02	2.62265694e+02	3.23763773e+02	3.99820684e+02	4.93901575e+02	6.10299617e+02	7.54334478e+02
1.59450000e+00	1.05415376e+00	1.00000000e+00	1.00000000e+00	1.03214567e+00	1.08958674e+00	1.17140233e+00	1.27954781e+00	1.41785858e+00	1.59180158e+00	1.80854383e+00	2.07719443e+00	2.40917629e+00	2.81872286e+00	3.32351339e+00	3.94547194e+00	4.71176514e+00	5.65604418e+00	6.81998855e+00	8.25522345e+00	1.00257006e+01	1.22106545e+01	1.49082723e+01	1.82402513e+01	2.23574583e+01	2.74469578e+01	3.37407421e+01	4.15265757e+01	5.11614681e+01	6.30884145e+01	7.78571978e+01	9.61502422e+01	1.18814746e+02	1.46902626e+02	1.81720173e+02	2.24889792e+02	2.78426767e+02	3.44834721e+02	4.27224339e+02	5.29461018e+02	6.56348533e+02	8.13857502e+02
1.69400000e+00	1.05274661e+00	1.00000000e+00	1.00000000e+00	1.03083779e+00	1.08607374e+00	1.16505165e+00	1.26987126e+00	1.40445366e+00	1.57433414e+00	1.78675714e+00	2.05093842e+00	2.37845652e+00	2.78377219e+00	3.28489200e+00	3.90420388e+00	4.66952244e+00	5.61539315e+00	6.78471715e+00	8.23077448e+00	1.00197426e+01	1.22338314e+01	1.49751854e+01	1.83707413e+01	2.25782760e+01	2.77939364e+01	3.42616160e+01	4.22846324e+01	5.22402717e+01	6.45979059e+01	7.99415638e+01	9.89980518e+01	1.22671995e+02	1.52089502e+02	1.88652592e+02	2.34107017e+02	2.90626826e+02	3.60919767e+02	4.48358705e+02	5.57145479e+02	6.92515220e+02	8.60991147e+02
1.79350000e+00	1.05092943e+00	1.00000000e+00	1.00000000e+00	1.02943579e+00	1.08233291e+00	1.15828257e+00	1.25949424e+00	1.38993282e+00	1.55515152e+00	1.76240929e+00	2.02094851e+00	2.34240065e+00	2.74132179e+00	3.23587632e+00	3.84869862e+00	4.60797289e+00	5.54878295e+00	6.71479734e+00	8.16037196e+00	9.95317312e+00	1.21774495e+01	1.49381136e+01	1.83658338e+01	2.26233866e+01	2.79135837e+01	3.44891632e+01	4.26651349e+01	5.28341883e+01	6.54859278e+01	8.12308849e+01	1.00830500e+02	1.25234558e+02	1.55627942e+02	1.93489020e+02	2.40662570e+02	2.99450882e+02	3.72727555e+02	4.64079677e+02	5.77985459e+02	7.20036211e+02	8.97213714e+02
1.89300000e+00	1.04882282e+00	1.00000000e+00	1.00000000e+00	1.02799168e+00	1.07849516e+00	1.15132896e+00	1.24878340e+00	1.37483481e+00	1.53501598e+00	1.73655245e+00	1.98865175e+00	2.30291889e+00	2.69390236e+00	3.17979125e+00	3.78329445e+00	4.53274413e+00	5.46347729e+00	6.61956360e+00	8.05596523e+00	9.84123610e+00	1.20608950e+01	1.48216413e+01	1.82566230e+01	2.25320224e+01	2.78552872e+01	3.44854214e+01	4.27458518e+01	5.30405158e+01	6.58739809e+01	8.18766069e+01	1.01836018e+02	1.26736473e+02	1.57808116e+02	1.96588597e+02	2.45000174e+02	3.05446194e+02	3.80931828e+02	4.75215189e+02	5.92996457e+02	7.40154634e+02	9.24043896e+02
1.99250000e+00	1.04652369e+00	1.00000000e+00	1.00000000e+00	1.02654226e+00	1.07465211e+00	1.14435422e+00	1.23799595e+00	1.35954015e+00	1.51447028e+00	1.70994220e+00	1.95508185e+00	2.26140671e+00	2.64337811e+00	3.11910604e+00	3.71123894e+00	4.44808181e+00	5.36499814e+00	6.50616588e+00	7.92677581e+00	9.69578330e+00	1.18993526e+01	1.46451677e+01	1.80678292e+01	2.23356091e+01	2.76589093e+01	3.43008514e+01	4.25905379e+01	5.29396597e+01	6.58632967e+01	8.20059729e+01	1.02174295e+02	1.27377842e+02	1.58880400e+02	1.98264158e+02	2.47510153e+02	3.09099093e+02	3.86137711e+02	4.82517151e+02	6.03111498e+02	7.54026665e+02	9.42912407e+02
2.09200000e+00	1.04410918e+00	1.00000000e+00	1.00000000e+00	1.02511327e+00	1.07086715e+00	1.13747140e+00	1.22731089e+00	1.34431603e+00	1.49389929e+00	1.68311971e+00	1.92098628e+00	2.21888252e+00	2.59112142e+00	3.05565356e+00	3.63496172e+00	4.35718633e+00	5.25753838e+00	6.38007144e+00	7.77990331e+00	9.52600050e+00	1.17046684e+01	1.44239258e+01	1.78189878e+01	2.20591402e+01	2.73563559e+01	3.39761004e+01	4.22508788e+01	5.25972259e+01	6.55370137e+01	8.17241761e+01	1.01978232e+02	1.27326341e+02	1.59056062e+02	1.98781551e+02	2.48526626e+02	3.10828998e+02	3.88871086e+02	4.86644182e+02	6.09154522e+02	7.62681928e+02	9.55104502e+02
